Time_Step,Time_Clock,LNM_kW (Rigid),LMS_kW (Short-term),LMC_kW (Continuous),LMI_kW (Interruptible),Total_IT_Power_kW
1,00:00,221.11,88.44,350.78,1706.0,2366.34
2,00:15,433.96,173.59,350.78,1706.0,2664.33
3,00:30,564.0,225.6,350.78,1706.0,2846.39
4,00:45,624.29,249.72,350.78,1706.0,2930.8
5,01:00,627.91,251.16,175.39,1706.0,2760.46
6,01:15,587.9,235.16,175.39,1706.0,2704.46
7,01:30,517.35,206.94,175.39,1706.0,2605.69
8,01:45,429.32,171.73,175.39,1706.0,2482.44
9,02:00,336.87,134.75,0.0,1706.0,2177.62
10,02:15,253.07,101.23,0.0,1706.0,2060.3
11,02:30,190.98,76.39,0.0,1706.0,1973.38
12,02:45,163.68,65.47,0.0,1706.0,1935.15
13,03:00,184.21,73.68,0.0,1706.0,1963.89
14,03:15,255.78,102.31,0.0,1706.0,2064.09
15,03:30,354.38,141.75,0.0,1706.0,2202.13
16,03:45,451.36,180.54,0.0,1706.0,2337.9
17,04:00,333.71,133.48,0.0,1706.0,2173.2
18,04:15,350.45,140.18,0.0,1706.0,2196.63
19,04:30,334.41,133.76,0.0,1706.0,2174.17
20,04:45,298.58,119.43,0.0,1706.0,2124.01
21,05:00,256.08,102.43,0.0,1492.75,1851.27
22,05:15,217.32,86.93,0.0,1492.75,1797.01
23,05:30,187.4,74.96,0.0,1492.75,1755.11
24,05:45,170.26,68.1,0.0,1492.75,1731.11
25,06:00,320.97,128.39,0.0,1279.5,1728.86
26,06:15,340.1,136.04,0.0,1279.5,1755.65
27,06:30,364.76,145.9,0.0,1279.5,1790.17
28,06:45,379.04,151.62,0.0,1279.5,1810.16
29,07:00,367.19,146.87,0.0,1066.25,1580.31
30,07:15,325.76,130.3,0.0,1066.25,1522.31
31,07:30,272.66,109.06,0.0,1066.25,1447.97
32,07:45,227.91,91.16,0.0,1066.25,1385.32
33,08:00,211.3,84.52,0.0,853.0,1148.82
34,08:15,228.01,91.21,0.0,853.0,1172.22
35,08:30,260.63,104.25,0.0,853.0,1217.89
36,08:45,289.79,115.92,0.0,853.0,1258.71
37,09:00,296.43,118.57,0.0,853.0,1268.0
38,09:15,275.69,110.28,0.0,853.0,1238.97
39,09:30,242.45,96.98,0.0,853.0,1192.44
40,09:45,213.02,85.21,0.0,853.0,1151.23
41,10:00,203.35,81.34,0.0,639.75,924.45
42,10:15,216.58,86.63,0.0,639.75,942.96
43,10:30,239.88,95.95,0.0,639.75,975.58
44,10:45,259.46,103.79,0.0,639.75,1003.0
45,11:00,261.89,104.76,0.0,639.75,1006.39
46,11:15,244.18,97.67,0.0,639.75,981.6
47,11:30,215.0,86.0,0.0,639.75,940.76
48,11:45,183.67,73.47,0.0,639.75,896.88
49,12:00,159.22,63.69,0.0,426.5,649.41
50,12:15,145.54,58.22,0.0,426.5,630.26
51,12:30,141.3,56.52,0.0,426.5,624.32
52,12:45,144.94,57.98,0.0,426.5,629.42
53,13:00,154.92,61.97,0.0,426.5,643.38
54,13:15,169.51,67.8,0.0,426.5,663.81
55,13:30,186.87,74.75,0.0,426.5,688.12
56,13:45,205.15,82.06,0.0,426.5,713.72
57,14:00,222.53,89.01,0.0,426.5,738.05
58,14:15,237.44,94.98,0.0,426.5,758.92
59,14:30,248.54,99.42,0.0,426.5,774.46
60,14:45,254.49,101.8,0.0,426.5,782.79
61,15:00,254.13,101.65,0.0,426.5,782.28
62,15:15,248.44,99.38,0.0,426.5,774.32
63,15:30,240.02,96.01,0.0,426.5,762.52
64,15:45,231.45,92.58,0.0,426.5,750.52
65,16:00,225.34,90.14,175.39,426.5,917.37
66,16:15,224.31,89.72,175.39,426.5,915.92
67,16:30,230.95,92.38,175.39,426.5,925.22
68,16:45,247.88,99.15,175.39,426.5,948.92
69,17:00,276.9,110.76,350.78,639.75,1378.2
70,17:15,311.92,124.77,350.78,639.75,1427.22
71,17:30,342.24,136.9,350.78,639.75,1469.66
72,17:45,357.13,142.85,350.78,639.75,1490.51
73,18:00,246.29,98.52,526.17,1066.25,1937.23
74,18:15,221.95,88.78,526.17,1066.25,1903.15
75,18:30,196.05,78.42,526.17,1066.25,1866.9
76,18:45,182.23,72.89,526.17,1066.25,1847.55
77,19:00,191.4,76.56,526.17,1279.5,2073.63
78,19:15,217.18,86.87,526.17,1279.5,2109.72
79,19:30,244.86,97.94,526.17,1279.5,2148.48
80,19:45,258.98,103.59,526.17,1279.5,2168.24
81,20:00,246.9,98.76,526.17,1706.0,2577.83
82,20:15,216.52,86.61,526.17,1706.0,2535.29
83,20:30,183.89,73.56,526.17,1706.0,2489.62
84,20:45,164.26,65.7,526.17,1706.0,2462.14
85,21:00,168.82,67.53,526.17,1706.0,2468.53
86,21:15,190.07,76.03,526.17,1706.0,2498.28
87,21:30,213.58,85.43,526.17,1706.0,2531.18
88,21:45,224.16,89.66,526.17,1706.0,2545.99
89,22:00,307.41,122.97,526.17,1706.0,2662.55
90,22:15,269.25,107.7,526.17,1706.0,2609.12
91,22:30,220.28,88.11,526.17,1706.0,2540.57
92,22:45,171.92,68.77,526.17,1706.0,2472.86
93,23:00,135.56,54.22,526.17,1706.0,2421.96
94,23:15,122.62,49.05,526.17,1706.0,2403.84
95,23:30,144.5,57.8,526.17,1706.0,2434.47
96,23:45,212.61,85.04,526.17,1706.0,2529.82
